,rank,tld
1119,4315,americanexpress
1120,4317,blockbuster
1121,4319,buy
1122,4325,chintai
1123,4347,kerryhotels
1124,4349,lotto
1125,4353,meme
1126,4355,mtn
1127,4362,progressive
1128,4364,shaw
1129,4366,temasek
1130,4373,wow
1131,4374,xfinity
1132,4375,xn--e1a4c
1133,4376,xn--mgberp4a5d4ar
1134,4380,aetna
1135,4388,bms
1136,4389,bostik
1137,4403,gea
1138,4404,genting
1139,4407,hkt
1140,4408,homedepot
1141,4414,lundbeck
1142,4418,olayangroup
1143,4420,ping
1144,4422,pru
1145,4423,skype
1146,4428,viva
1147,4429,walter
1148,4430,xn--gckr3f0f
1149,4431,xn--gecrj9c
1150,4432,xn--j1aef
1151,4436,aarp
1152,4437,able
1153,4439,agakhan
1154,4443,alibaba
1155,4444,aramco
1156,4445,auspost
1157,4448,boehringer
1158,4456,frogans
1159,4458,gap
1160,4468,kia
1161,4469,lasalle
1162,4470,latrobe
1163,4474,living
1164,4476,nextdirect
1165,4478,nowtv
1166,4483,reliance
1167,4484,rocher
1168,4486,seven
1169,4487,shangrila
1170,4488,shouji
1171,4492,viking
1172,4493,visa
1173,4495,winners
1174,4497,wme
1175,4498,xn--ngbrx
1176,4502,author
1177,4504,bananarepublic
1178,4505,bosch
1179,4514,deal
1180,4515,dtv
1181,4516,dvr
1182,4523,eurovision
1183,4526,fly
1184,4529,frontier
1185,4532,goodyear
1186,4534,grainger
1187,4538,homesense
1188,4539,imdb
1189,4547,kuokgroup
1190,4549,lds
1191,4550,lefrak
1192,4551,lego
1193,4553,lifestyle
1194,4554,locker
1195,4555,locus
1196,4558,lpl
1197,4564,mitsubishi
1198,4568,nowruz
1199,4570,olayan
1200,4576,redstone
1201,4577,rexroth
1202,4580,scholarships
1203,4582,showtime
1204,4585,tci
1205,4586,thd
1206,4587,tjmaxx
1207,4593,xn--42c2d9a
1208,4595,xn--s9brj9c
1209,4596,yamaxun
1210,4599,ally
1211,4604,athleta
1212,4605,avianca
1213,4607,bbt
1214,4609,bofa
1215,4613,cipriani
1216,4614,citadel
1217,4622,dish
1218,4626,dupont
1219,4631,farmers
1220,4635,fresenius
1221,4636,gallo
1222,4641,hbo
1223,4642,hdfc
1224,4643,hdfcbank
1225,4646,hughes
1226,4652,joy
1227,4654,juniper
1228,4656,kerrylogistics
1229,4658,kosher
1230,4660,lexus
1231,4662,lifeinsurance
1232,4664,lincoln
1233,4665,lplfinancial
1234,4666,marriott
1235,4669,mint
1236,4671,nba
1237,4678,nfl
1238,4680,oldnavy
1239,4681,otsuka
1240,4682,ott
1241,4689,richardli
1242,4693,staples
1243,4696,tdk
1244,4699,tvs
1245,4702,wanggou
1246,4705,xn--d1alf
1247,4706,xn--wgbh1c
1248,4707,zappos
1249,4709,accenture
1250,4710,airbus
1251,4711,airtel
1252,4712,americanfamily
1253,4713,amica
1254,4718,barefoot
1255,4720,baseball
1256,4721,beats
1257,4722,bestbuy
1258,4723,bharti
1259,4726,caravan
1260,4727,cbn
1261,4732,comsec
1262,4737,dunlop
1263,4747,ferrari
1264,4748,ferrero
1265,4749,firestone
1266,4758,grocery
1267,4774,jot
1268,4777,lacaixa
1269,4780,maif
1270,4781,marshalls
1271,4782,mckinsey
1272,4790,mormon
1273,4793,nissay
1274,4795,nokia
1275,4796,obi
1276,4799,origins
1277,4802,playstation
1278,4803,pohl
1279,4806,safety
1280,4807,sakura
1281,4808,sandvikcoromant
1282,4810,shia
1283,4812,tatamotors
1284,4813,tkmaxx
1285,4817,trv
1286,4818,tunes
1287,4822,virgin
1288,4823,volkswagen
1289,4829,xn--54b7fta0cc
1290,4830,xn--fzc2c9e2c
1291,4831,xn--wgbl6a
1292,4833,allstate
1293,4834,alstom
1294,4836,arte
1295,4837,audible
1296,4838,banamex
1297,4845,calvinklein
1298,4847,catholic
1299,4857,coupon
1300,4858,cruise
1301,4859,datsun
1302,4865,ericsson
1303,4875,gallup
1304,4880,hangout
1305,4881,homegoods
1306,4889,jeep
1307,4890,jprs
1308,4894,lamer
1309,4898,lotte
1310,4910,mls
1311,4925,prudential
1312,4930,seek
1313,4936,sina
1314,4941,stcgroup
1315,4944,swatch
1316,4947,tiaa
1317,4948,tjx
1318,4949,travelers
1319,4954,volvo
1320,4955,weatherchannel
1321,4956,weibo
1322,4957,wolterskluwer
1323,4958,xbox
1324,4959,xihuan
1325,4960,xn--1ck2e1b
1326,4961,xn--4gbrim
1327,4962,xn--55qw42g
1328,4963,xn--cckwcxetd
1329,4964,xn--fiq64b
1330,4965,xn--l1acc
1331,4966,xn--xkc2al3hye2a
1332,4970,aeg
1333,4973,amfam
1334,4980,bcg
1335,4987,capitalone
1336,5002,emerck
1337,5006,fido
1338,5008,frontdoor
1339,5010,guge
1340,5023,lancaster
1341,5026,latino
1342,5028,lipsy
1343,5031,merckmsd
1344,5035,moto
1345,5044,nikon
1346,5052,pars
1347,5064,ril
1348,5069,sfr
1349,5071,silk
1350,5072,sling
1351,5074,sohu
1352,5082,travelersinsurance
1353,5084,ubank
1354,5094,xn--1qqw23a
1355,5096,xn--bck1b9a5dre4c
1356,5097,xn--h2brj9c8c
1357,5098,xn--i1b6b1a6a2e
1358,5099,xn--jlq480n2rg
1359,5100,xn--mgbaakc7dvf
1360,5101,xn--mgbab2bd
1361,5102,xn--mgbcpq6gpa1a
1362,5103,xn--nyqy26a
1363,5104,xn--pgbs0dh
1364,5105,xn--zfr164b
1365,5115,asda
1366,5134,clinique
1367,5138,dabur
1368,5141,dclk
1369,5146,dubai
1370,5162,fairwinds
1371,5163,firmdale
1372,5177,ieee
1373,5198,kddi
1374,5228,nhk
1375,5235,omega
1376,5244,pramerica
1377,5249,redumbrella
1378,5258,tmall
1379,5262,tushu
1380,5263,unicom
1381,5271,xn--2scrj9c
1382,5272,xn--30rr7y
1383,5273,xn--80aqecdr1a
1384,5274,xn--9krt00a
1385,5275,xn--eckvdtc9d
1386,5276,xn--fzys8d69uvgm
1387,5277,xn--gk3at1e
1388,5278,xn--kcrx77d1x4a
1389,5279,xn--lgbbat1ad8j
1390,5280,xn--mgba3a3ejt
1391,5281,xn--mgbah1a3hjkrd
1392,5282,xn--nqv7fs00ema
1393,5284,xn--ogbpf8fl
1394,5285,xn--qxa6a
1395,5286,xn--tiq49xqyj
1396,5290,yun
1397,5320,cityeats
1398,5365,goldpoint
1399,5373,hyundai
1400,5417,nec
1401,5423,northwesternmutual
1402,5433,ollo
1403,5441,pccw
1404,5493,vana
1405,5495,verisign
1406,5503,xn--11b4c3d
1407,5504,xn--3hcrj9c
1408,5505,xn--45br5cyl
1409,5506,xn--45q11c
1410,5507,xn--5su34j936bgsg
1411,5508,xn--8y0a063a
1412,5510,xn--9et52u
1413,5511,xn--b4w605ferd
1414,5512,xn--c2br7g
1415,5513,xn--cg4bki
1416,5514,xn--efvy88h
1417,5515,xn--fhbei
1418,5516,xn--flw351e
1419,5518,xn--h2breg3eve
1420,5520,xn--mgba7c0bbn0a
1421,5521,xn--mgbai9azgqp6j
1422,5522,xn--mgbbh1a
1423,5523,xn--mgbbh1a71e
1424,5524,xn--mgbca7dzdo
1425,5525,xn--mgbpl2fh
1426,5526,xn--mgbt3dhd
1427,5527,xn--mgbtx2b
1428,5528,xn--mgbx4cd0ab
1429,5529,xn--mix891f
1430,5530,xn--ngbe9e0a
1431,5531,xn--otu796d
1432,5532,xn--pssy2u
1433,5533,xn--qcka1pmc
1434,5534,xn--rvc1e0am3e
1435,5535,xn--vermgensberater-ctb
1436,5536,xn--vermgensberatung-pwb
1437,5537,xn--w4r85el8fhu5dnra
1438,5538,xn--w4rs40l
1439,5539,xn--xhq521b
1440,5540,xn--xkc2dl3a5ee0h
1441,5541,xn--ygbi2ammx
1442,5545,yodobashi
1443,5656,gbiz
1444,5657,ggee
1445,5840,xn--3pxu8k
1446,5841,xn--clchc0ea0b2g2a9gcd
1447,5843,xn--imr513n
1448,5844,xn--mgb9awbf
1449,5845,xn--mgba3a4f16a
1450,5846,xn--mgbc0a9azcg
1451,5847,xn--mgbgu82a
1452,5848,xn--mgbi4ecexp
1453,5849,xn--q7ce6a
1454,5851,xn--yfro4i67o
1455,19605,xn--mgba3a4fra
1456,19606,xn--mgbai9a5eva00b
1457,19607,xn--mgberp4a5d4a87g
1458,19608,xn--mgbtf8fl
1459,19609,xn--mix082f
